ORDER_NUMBER,HEADER_ID,SET_NAME,SET_ID,SHIPMENT_NUM,ORDER_TYPE,ORDER_TYPE_ID,FLOW_STATUS_CODE,SHIP_FROM_ORG_ID,OPT_IN_OUT,SHIPPING_METHOD_CODE,SHIPMENT_AMOUNT,DELIVERY_ID,SHIP_FROM,SHIP_TO,OTM_IB_SHIPPING_ROUTE_CODE,SHIPMENT_PRIORITY_CODE,BOOKED_DATE,ROUTE_DERIVED,MFG_DATE,CM_SSD,PACKOUT_DATE,DELIVERY_CREATED,PICK_RELEASED,EXPECTED_SLC_SD,ACTUAL_SLC_SD,EXPECTED_DELIVERY_DATE,DELIVERED_DATE,LAST_MILESTONE,FISCAL_MONTH,FISCAL_QUARTER
"13,815,672","600,395,403",29,"600,918,698",13815672-29,Standard - UKH,"700,186",CLOSED,383,C,000002_INFY_L_LTL,,"111,853,246",INFYJMX,PL,CODC-SLCGUADSH-SLCROERMOND,PR4,07/09/2014 13:49:02,,07/26/2014 08:54:00,07/27/2017 00:00:00,07/16/2014 07:00:41,08/04/2014 01:50:57,08/04/2014 02:10:42,08/07/2017 00:00:00,08/05/2014 09:49:27,07/27/2017 00:00:00,,,JUL-17,Q4FY17
#"104,263,967","610,291,042",3,"632,064,290",104263967-3,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,"19,454","119,116,535",INFYJMX,US,COC-SLCGUADSH,PR5,04/20/2017 10:56:21,04/20/2017 11:13:35,04/23/2017 10:48:00,05/04/2017 23:59:00,04/23/2017 02:11:10,04/23/2017 15:39:32,04/25/2017 09:04:23,05/05/2017 23:59:00,04/25/2017 11:49:31,05/16/2017 23:59:00,04/26/2017 07:18:00,SHIP CONFIRM,MAY-17,Q4FY17
"104,263,949","610,291,027",2,"632,064,258",104263949-2,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_EXP,"3,013","119,141,318",INFYJMX,US,COC-SLCGUADSH,PR7,04/20/2017 10:52:36,04/20/2017 10:58:27,04/25/2017 11:42:00,04/25/2017 23:59:00,04/25/2017 09:17:51,04/26/2017 08:53:22,04/26/2017 09:09:53,04/26/2017 23:59:00,04/26/2017 12:20:07,05/03/2017 23:59:00,04/28/2017 07:15:00,SHIP CONFIRM,MAY-17,Q4FY17
"104,263,205","610,288,797",4,"632,060,940",104263205-4,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,"1,439","119,135,030",INFYJMX,US,COC-SLCGUADSH,PR5,04/20/2017 16:24:43,04/20/2017 16:48:27,04/25/2017 12:38:00,05/03/2017 23:59:00,04/25/2017 11:06:45,04/25/2017 15:55:35,05/02/2017 23:07:48,05/04/2017 23:59:00,05/04/2017 12:22:53,05/15/2017 23:59:00,05/05/2017 07:52:00,SHIP CONFIRM,MAY-17,Q4FY17
"104,262,382","610,288,494",1,"632,057,800",104262382-1,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,"28,348","119,114,239",INFYJMX,US,COC-SLCGUADSH,PR7,04/20/2017 07:21:47,04/20/2017 07:53:33,04/22/2017 12:36:00,04/25/2017 23:59:00,04/22/2017 11:04:57,04/22/2017 17:25:55,04/22/2017 17:35:25,04/26/2017 23:59:00,04/24/2017 14:20:46,05/05/2017 23:59:00,05/02/2017 10:21:00,SHIP CONFIRM,MAY-17,Q4FY17
"104,203,512","610,156,085",6,"632,051,342",104203512-6,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_PRM,657,"119,180,807",INFYJMX,US,COC-SLCGUADSH,PR7,04/07/2017 17:45:45,04/25/2017 14:09:39,04/27/2017 11:48:00,05/05/2017 23:59:00,04/27/2017 08:18:44,04/29/2017 12:48:50,05/01/2017 04:52:08,05/08/2017 23:59:00,05/02/2017 19:27:50,05/11/2017 23:59:00,,CUSTOMS CLEARANCE,MAY-17,Q4FY17
"104,203,512","610,156,085",2,"632,051,338",104203512-2,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_PRM,"188,010","119,181,102",INFYJMX,US,COC-SLCGUADSH,PR7,04/07/2017 17:45:45,04/25/2017 14:04:15,04/29/2017 09:38:00,05/03/2017 23:59:00,04/28/2017 21:44:02,04/29/2017 13:05:43,05/01/2017 04:52:09,05/04/2017 23:59:00,05/02/2017 19:27:50,05/09/2017 23:59:00,,CUSTOMS CLEARANCE,MAY-17,Q4FY17
"104,203,512","610,156,085",3,"632,051,339",104203512-3,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_PRM,"3,940","119,180,806",INFYJMX,US,COC-SLCGUADSH,PR7,04/07/2017 17:45:45,04/25/2017 14:09:39,04/27/2017 19:04:00,05/05/2017 23:59:00,04/27/2017 13:43:41,04/29/2017 12:48:50,05/02/2017 09:31:51,05/08/2017 23:59:00,05/03/2017 11:23:07,05/11/2017 23:59:00,05/04/2017 07:42:00,CUSTOMS CLEARANCE,MAY-17,Q4FY17
"104,203,512","610,156,085",5,"632,051,340",104203512-5,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_PRM,"13,688","119,265,850",INFYJMX,US,COC-SLCGUADSH,PR4,04/07/2017 17:45:45,04/25/2017 14:09:39,05/10/2017 20:12:00,05/12/2017 23:59:00,05/10/2017 18:45:51,05/10/2017 22:06:38,05/11/2017 00:54:48,05/15/2017 23:59:00,05/11/2017 17:51:21,05/18/2017 23:59:00,05/17/2017 08:55:00,CUSTOMS CLEARANCE,MAY-17,Q4FY17
"104,203,512","610,156,085",8,"632,051,343",104203512-8,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_PRM,"1,313","119,180,808",INFYJMX,US,COC-SLCGUADSH,PR7,04/07/2017 17:45:45,04/25/2017 14:09:39,04/27/2017 19:04:00,05/05/2017 23:59:00,04/27/2017 17:19:29,04/29/2017 12:48:50,05/02/2017 09:31:50,05/08/2017 23:59:00,05/03/2017 11:23:07,05/11/2017 23:59:00,05/04/2017 07:42:00,CUSTOMS CLEARANCE,MAY-17,Q4FY17
